{'steering': np.float64(0.0219), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:23:291', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 0, 'image': '000000.png'}
{'steering': np.float64(-0.2743), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:83', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 30, 'image': '000030.png'}
{'steering': np.float64(-0.1702), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:179', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 31, 'image': '000031.png'}
{'steering': np.float64(-0.018), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:262', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 32, 'image': '000032.png'}
{'steering': np.float64(0.1555), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:356', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 33, 'image': '000033.png'}
{'steering': np.float64(0.2085), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:441', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 34, 'image': '000034.png'}
{'steering': np.float64(0.1289), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:535', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 35, 'image': '000035.png'}
{'steering': np.float64(-0.005), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:629', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 36, 'image': '000036.png'}
{'steering': np.float64(-0.2645), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:723', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 37, 'image': '000037.png'}
{'steering': np.float64(-0.3268), 'forward': 0.30000000000000004, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:816', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 38, 'image': '000038.png'}
{'steering': np.float64(-0.1427), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:900', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 39, 'image': '000039.png'}
{'steering': np.float64(-0.1728), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:26:995', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 40, 'image': '000040.png'}
{'steering': np.float64(-0.1742), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:80', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 41, 'image': '000041.png'}
{'steering': np.float64(-0.1756), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:177', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 42, 'image': '000042.png'}
{'steering': np.float64(-0.177), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:273', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 43, 'image': '000043.png'}
{'steering': np.float64(-0.1784), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:369', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 44, 'image': '000044.png'}
{'steering': np.float64(-0.1798), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:453', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 45, 'image': '000045.png'}
{'steering': np.float64(-0.1812), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:538', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 46, 'image': '000046.png'}
{'steering': np.float64(-0.1826), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:633', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 47, 'image': '000047.png'}
{'steering': np.float64(-0.184), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:728', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 48, 'image': '000048.png'}
{'steering': np.float64(-0.1854), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:814', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 49, 'image': '000049.png'}
{'steering': np.float64(-0.1868), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:898', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 50, 'image': '000050.png'}
{'steering': np.float64(-0.1882), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:27:985', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 51, 'image': '000051.png'}
{'steering': np.float64(-0.1896), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:78', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 52, 'image': '000052.png'}
{'steering': np.float64(-0.191), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:162', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 53, 'image': '000053.png'}
{'steering': np.float64(-0.1924), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:256', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 54, 'image': '000054.png'}
{'steering': np.float64(-0.1938), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:341', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 55, 'image': '000055.png'}
{'steering': np.float64(-0.1952), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:435', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 56, 'image': '000056.png'}
{'steering': np.float64(-0.1966), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:518', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 57, 'image': '000057.png'}
{'steering': np.float64(-0.198), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:605', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 58, 'image': '000058.png'}
{'steering': np.float64(-0.1994), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:698', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 59, 'image': '000059.png'}
{'steering': np.float64(-0.2008), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:793', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 60, 'image': '000060.png'}
{'steering': np.float64(-0.2022), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:879', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 61, 'image': '000061.png'}
{'steering': np.float64(-0.2036), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:28:963', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 62, 'image': '000062.png'}
{'steering': np.float64(-0.205), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:60', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 63, 'image': '000063.png'}
{'steering': np.float64(-0.2064), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:143', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 64, 'image': '000064.png'}
{'steering': np.float64(-0.2078), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:226', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 65, 'image': '000065.png'}
{'steering': np.float64(-0.2092), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:322', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 66, 'image': '000066.png'}
{'steering': np.float64(-0.2106), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:409', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 67, 'image': '000067.png'}
{'steering': np.float64(-0.212), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:504', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 68, 'image': '000068.png'}
{'steering': np.float64(-0.2134), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:601', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 69, 'image': '000069.png'}
{'steering': np.float64(-0.2148), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:696', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 70, 'image': '000070.png'}
{'steering': np.float64(-0.2162), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:792', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 71, 'image': '000071.png'}
{'steering': np.float64(-0.2176), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:875', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 72, 'image': '000072.png'}
{'steering': np.float64(-0.219), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:29:972', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 73, 'image': '000073.png'}
{'steering': np.float64(-0.2204), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:67', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 74, 'image': '000074.png'}
{'steering': np.float64(-0.2218), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:162', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 75, 'image': '000075.png'}
{'steering': np.float64(-0.2232), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:245', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 76, 'image': '000076.png'}
{'steering': np.float64(-0.2246), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:339', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 77, 'image': '000077.png'}
{'steering': np.float64(-0.226), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:426', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 78, 'image': '000078.png'}
{'steering': np.float64(-0.2274), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:523', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 79, 'image': '000079.png'}
{'steering': np.float64(-0.2288), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:606', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 80, 'image': '000080.png'}
{'steering': np.float64(-0.2302), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:700', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 81, 'image': '000081.png'}
{'steering': np.float64(-0.2316), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:796', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 82, 'image': '000082.png'}
{'steering': np.float64(-0.233), 'forward': 0.4, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:889', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 83, 'image': '000083.png'}
{'steering': np.float64(-0.3292), 'forward': 0.30000000000000004, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:30:993', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 84, 'image': '000084.png'}
{'steering': np.float64(-0.0816), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:31:97', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 85, 'image': '000085.png'}
{'steering': np.float64(0.0673), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:31:191', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 86, 'image': '000086.png'}
{'steering': np.float64(0.181), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:31:285', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 87, 'image': '000087.png'}
{'steering': np.float64(0.1499), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:31:392', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 88, 'image': '000088.png'}
{'steering': np.float64(0.1669), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:31:486', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 89, 'image': '000089.png'}
{'steering': np.float64(0.1511), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:31:590', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 90, 'image': '000090.png'}
{'steering': np.float64(0.1547), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:31:694', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 91, 'image': '000091.png'}
{'steering': np.float64(0.134), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:31:790', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 92, 'image': '000092.png'}
{'steering': np.float64(0.1315), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:31:887', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 93, 'image': '000093.png'}
{'steering': np.float64(0.1265), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:31:992', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 94, 'image': '000094.png'}
{'steering': np.float64(0.1433), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:32:87', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 95, 'image': '000095.png'}
{'steering': np.float64(0.1564), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:32:191', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 96, 'image': '000096.png'}
{'steering': np.float64(0.1623), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:32:283', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 97, 'image': '000097.png'}
{'steering': np.float64(0.1549), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:32:377', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 98, 'image': '000098.png'}
{'steering': np.float64(0.1208), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:32:483', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 99, 'image': '000099.png'}
{'steering': np.float64(0.0915), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:32:590', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 100, 'image': '000100.png'}
{'steering': np.float64(0.0475), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:32:688', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 101, 'image': '000101.png'}
{'steering': np.float64(-0.0235), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:32:793', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 102, 'image': '000102.png'}
{'steering': np.float64(-0.0681), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:32:887', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 103, 'image': '000103.png'}
{'steering': np.float64(-0.1167), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:32:981', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 104, 'image': '000104.png'}
{'steering': np.float64(-0.1584), 'forward': 0.5, 'backward': 0, 'boost': 0, 'recording': 1, 'exit': 0, 'timestep': '01:02:2025:08:44:33:79', 'enable_pid': 1, 'camera_0': 0, 'camera_1': 0, 'idx': 105, 'image': '000105.png'}
